SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,4208 Shorepointe Way,San Diego,CA,92130,1550000,4,5.0,Carmel Valley,3644,7318,2000,4,Garage,33,Active,,,,,1550000,2001-01-19,865000.0,http://www.redfin.com/CA/San-Diego/4208-Shorepointe-Way-92130/home/6314635,San Diego County's Regional Multiple Listing Service (SANDICOR),160024888,Western Hills Real Estate,N,Y,32.922799,-117.223794,false
MLS Listing,Single Family Residential,4451 Philbrook Sq,San Diego,CA,92130,1499000,6,6.0,Carmel Valley,4752,7239,2002,5,Garage,3,Active,,,,,1499000,2004-12-01,1475000.0,http://www.redfin.com/CA/San-Diego/4451-Philbrook-Sq-92130/home/6484835,San Diego County's Regional Multiple Listing Service (SANDICOR),160030724,Coldwell Banker Res. Brokerage,N,Y,32.9296549,-117.225062,false
MLS Listing,Single Family Residential,4254 Calle Isabelino,San Diego,CA,92130,944900,4,3.0,San Diego,2286,3648,1999,4,Garage,3,Active,2016-06-11,11:00,15:00,,944900,2003-08-01,628000.0,http://www.redfin.com/CA/San-Diego/4254-Calle-Isabelino-92130/home/6397042,San Diego County's Regional Multiple Listing Service (SANDICOR),160030873,Blue Pacific Property,N,Y,32.9206761,-117.2232265,false
MLS Listing,Single Family Residential,4259 Federman Ln,San Diego,CA,92130,930000,4,3.0,Carmel Valley,2008,5184,1987,4,Garage,42,Active,2016-06-11,13:00,16:00,2016-05-31,950000,2012-03-28,670000.0,http://www.redfin.com/CA/San-Diego/4259-Federman-Ln-92130/home/4466191,San Diego County's Regional Multiple Listing Service (SANDICOR),160022676,Berkshire Hathaway HomeService,N,Y,32.955145,-117.223163,false
MLS Listing,Single Family Residential,4144 Twilight Rdg,San Diego,CA,92130,974900,4,3.0,Carmel Valley,2274,,2003,2,Garage,69,Active,,,,2016-05-12,1024900,2003-01-27,558000.0,http://www.redfin.com/CA/San-Diego/4144-Twilight-Rdg-92130/home/6485209,San Diego County's Regional Multiple Listing Service (SANDICOR),160017273,Realty One Group,N,Y,32.9243669,-117.223935,false
MLS Listing,Single Family Residential,13276 Norcroft,Carmel Valley,CA,92130,1388000,4,4.0,Carmel Valley,3071,7362,1986,6,Garage,53,Active,,,,2016-05-13,1478000,,,http://www.redfin.com/CA/San-Diego/13276-Norcroft-Rd-92130/home/4461524,San Diego County's Regional Multiple Listing Service (SANDICOR),160020497,Coldwell Banker Res. Brokerage,N,Y,32.9614925,-117.2266427,false
MLS Listing,Condo/Coop,12968 CARMEL CREEK Rd #148,SAN DIEGO,CA,92130,689000,3,3.0,San Diego,1604,,1989,2,,11,Active,,,,,689000,1991-08-28,262000.0,http://www.redfin.com/CA/San-Diego/12968-Carmel-Creek-Rd-92130/unit-148/home/4454289,San Diego County's Regional Multiple Listing Service (SANDICOR),160029293,The Scola Company,N,Y,32.9519171,-117.2269674,false
MLS Listing,Single Family Residential,13182 Capstone Dr,San Diego,CA,92130,1129000,4,3.0,Carmel Valley,2605,8237,1987,6,Garage,27,Active,2016-06-11,13:00,16:00,,1129000,,,http://www.redfin.com/CA/San-Diego/13182-Capstone-Dr-92130/home/4461599,San Diego County's Regional Multiple Listing Service (SANDICOR),160026117,Keller Williams Carmel Valley,N,Y,32.960164,-117.226469,false
MLS Listing,Condo/Coop,12374 Carmel Country Rd H 205,San Diego,CA,92130,619000,3,2.0,Carmel Valley,1376,,2003,2,Garage,6,Active,,,,,619000,2008-02-29,520000.0,http://www.redfin.com/CA/San-Diego/12374-Carmel-Country-Rd-92130/unit-205/home/7542907,San Diego County's Regional Multiple Listing Service (SANDICOR),160030408,Keller Williams SD Metro,N,Y,32.9466816,-117.2280784,false
MLS Listing,Condo/Coop,12960 Carmel Creek Rd #131,San Diego,CA,92130,691000,3,3.0,Carmel Valley,1604,,1989,2,Garage,7,Active,,,,,691000,2013-04-23,553000.0,http://www.redfin.com/CA/San-Diego/12960-Carmel-Creek-Rd-92130/unit-131/home/4454270,San Diego County's Regional Multiple Listing Service (SANDICOR),160029985,Alan C Townsend,N,Y,32.9522766,-117.2282648,false
MLS Listing,Single Family Residential,5022 Sterling Grove Ln,San Diego,CA,92130,1199000,5,3.0,Carmel Valley,2808,6142,1999,5,Garage,91,Active,,,,2016-05-12,1249000,1998-09-25,429500.0,http://www.redfin.com/CA/San-Diego/5022-Sterling-Grove-Ln-92130/home/4518404,San Diego County's Regional Multiple Listing Service (SANDICOR),160010611,Berkshire Hathaway HomeService,N,Y,32.934226,-117.207574,false
